starttime,endtime,qc_variable,flag_name
20478,23359,CVI_quality,bad
20478,23359,WVISO1_quality,bad
20478,23359,WVISO2_quality,bad
0,0,0,0
43672,45211,CVI_quality,bad
43672,45211,WVISO1_quality,bad
43672,45211,WVISO2_quality,bad
0,0,0,0
31401,31437,CVI_quality,bad
31401,31437,WVISO1_quality,bad
0,0,0,0
34793,34812,CVI_quality,bad
34793,34812,WVISO1_quality,bad
0,0,0,0
31881,31892,CVI_quality,bad
31881,31892,WVISO1_quality,bad
0,0,0,0
38111,38202,CVI_quality,bad
38111,38202,WVISO1_quality,bad
